UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,StockNumber,ItemName,Category,Description,Branch,UnitOfIssue,UnitPrice,MaxQtyPerRequest,LeadTimeDays,ApprovedVendors,Reference,Active,FSC,NIIN
0C535273D0743AB1C8070D4FF3120FEE,NT000007,,11/29/2014 16:30:03,04/24/2016 16:30:03,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,,8345-01-324-8329,"Guidon, Air Defense Artillery, 20 in x 27-3/4 in, scarlet",Guidon,"Guidon, Air Defense Artillery, 20 in x 27-3/4 in, scarlet. Manufactured to the Institute of Heraldry drawing; issued each.",Air Defense Artillery,EA,127.38,4,45,3SRF2;5KSB9;8BLU5,AR 840-10,Yes,8345,01-324-8329
E9773BE7DC60CBEBDDF5CD74D71BE4CD,NT000008,,07/19/2012 11:06:12,05/06/2015 11:06:12,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,8345-00-916-5301,"Color, Organizational, Signal Battalion, 3 ft x 4 ft, embroidered",Organizational Color,"Color, Organizational, Signal Battalion, 3 ft x 4 ft, embroidered. Manufactured to the Institute of Heraldry drawing; issued each.",Signal Corps,EA,1959.54,2,120,1CLR7;5KSB9,AR 840-10,Yes,8345,00-916-5301
1145A5DBF2DC0AE89BFB278E4545252E,NT000009,,10/03/2014 09:11:28,02/13/2022 09:11:28,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,8345-00-782-3116,"Guidon, Infantry, 20 in x 27-3/4 in, national flag blue",Guidon,"Guidon, Infantry, 20 in x 27-3/4 in, national flag blue. Manufactured to the Institute of Heraldry drawing; issued each.",Infantry,EA,118.95,6,45,1CLR7;5KSB9;8BLU5;1PRQ2,TIOH Drawing 5-1-14,Yes,8345,00-782-3116
3B55063CE0CEA0D93AF3EF35BED6DA43,NT000010,,12/31/2012 10:49:44,06/18/2017 10:49:44,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,8345-01-118-2274,"Color, Positional, Brigade Command, 3 ft x 4 ft",Positional Color,"Color, Positional, Brigade Command, 3 ft x 4 ft. Manufactured to the Institute of Heraldry drawing; issued each.",General,EA,2287.26,1,150,3SRF2,"AR 840-10, para 5-3",Yes,8345,01-118-2274
65D3A018EAEFFC418C2823B683ED5D1C,NT000011,,08/27/2012 15:47:49,06/07/2018 15:47:49,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,8345-00-540-7719,"Streamer, Campaign, Global War on Terrorism, 2-3/4 in x 4 ft",Streamer,"Streamer, Campaign, Global War on Terrorism, 2-3/4 in x 4 ft. Manufactured to the Institute of Heraldry drawing; issued each.",General,EA,64.12,12,30,1CLR7;7GRN1;8BLU5;1PRQ2,AR 840-10,Yes,8345,00-540-7719
148F81786FF768311C0395F23100CA78,NT000012,,04/02/2012 09:47:10,07/04/2013 09:47:10,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,8345-00-541-0032,"Streamer, Campaign, Vietnam, embroidered lettering",Streamer,"Streamer, Campaign, Vietnam, embroidered lettering. Manufactured to the Institute of Heraldry drawing; issued each.",General,EA,71.80,12,30,1CLR7;3SRF2;1PRQ2,AR 840-10,Yes,8345,00-541-0032
192ABFE26E3FE8F15E8F1DAC5E0CF6C7,NT000013,,05/18/2011 13:18:35,09/28/2011 13:18:35,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,8345-01-402-6650,"Flag, Distinguishing, General Officer (Major General), 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, General Officer (Major General), 3 ft x 4 ft. Manufactured to the Institute of Heraldry drawing; issued each.",General,EA,302.23,2,60,1CLR7;5KSB9;7GRN1;8BLU5;1K7Q3,TIOH Drawing 5-1-14,Yes,8345,01-402-6650
150CF980E2C234144272B0A981FD88E0,NT000014,,12/26/2012 10:23:59,04/14/2015 10:23:59,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,8345-01-402-6651,"Flag, Automobile, General Officer (Brigadier General), 12 in x 18 in",Automobile Flag,"Flag, Automobile, General Officer (Brigadier General), 12 in x 18 in. Manufactured to the Institute of Heraldry drawing; issued each.",General,EA,204.75,2,60,3SRF2;7GRN1;8BLU5;1PRQ2,AR 840-10,Yes,8345,01-402-6651
05A24F5B40E2D951691D392F0DC53601,NT000015,,09/14/2009 08:31:06,01/03/2010 08:31:06,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,8345-00-263-0741,"Guidon, Field Artillery, 20 in x 27-3/4 in, scarlet with crossed cannons",Guidon,"Guidon, Field Artillery, 20 in x 27-3/4 in, scarlet with crossed cannons. Manufactured to the Institute of Heraldry drawing; issued each.",Field Artillery,EA,121.15,6,45,3SRF2;5KSB9;8BLU5;1PRQ2,"AR 840-10, para 5-3",Yes,8345,00-263-0741
D4F2E6CF00698AC6EDA43D07E0C8CDD3,NT000016,,11/27/2012 14:16:07,08/15/2013 14:16:07,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,,8345-00-263-0802,"Guidon, Armor, 20 in x 27-3/4 in, yellow",Guidon,"Guidon, Armor, 20 in x 27-3/4 in, yellow. Manufactured to the Institute of Heraldry drawing; issued each.",Armor,EA,121.15,6,45,3SRF2;5KSB9;7GRN1;1PRQ2,TIOH Drawing 5-1-14,Yes,8345,00-263-0802
050337B4B5B23AB38937DAC2EEBD6793,NT000017,,11/27/2011 15:20:49,06/20/2013 15:20:49,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,8345-00-118-0445,"Color, Organizational, Aviation Brigade, 3 ft x 4 ft, ultramarine blue and golden orange",Organizational Color,"Color, Organizational, Aviation Brigade, 3 ft x 4 ft, ultramarine blue and golden orange. Manufactured to the Institute of Heraldry drawing; issued each.",Aviation,EA,2019.00,2,120,1CLR7;3SRF2;7GRN1;8BLU5,"AR 840-10, para 5-3",Yes,8345,00-118-0445
D4555A82246A5E7A431438E55C1011F1,NT000018,,01/17/2013 07:37:27,12/01/2017 07:37:27,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,8345-00-118-0446,"Color, National, 3 ft x 4 ft, embroidered stars, rayon",Organizational Color,"Color, National, 3 ft x 4 ft, embroidered stars, rayon. Manufactured to the Institute of Heraldry drawing; issued each.",General,EA,849.50,2,90,3SRF2;7GRN1;8BLU5,AR 840-10,Yes,8345,00-118-0446
BDAB85691EB03977AEA61A487010C066,NT000019,,07/26/2010 09:13:13,10/16/2015 09:13:13,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,8345-00-753-1106,"Cord and Tassel, Organizational Color, 8 ft 6 in, scarlet and gold",Accessory,"Cord and Tassel, Organizational Color, 8 ft 6 in, scarlet and gold. Manufactured to the Institute of Heraldry drawing; issued as a set.",General,SE,98.25,4,30,3SRF2;1PRQ2,TIOH Drawing 5-1-14,Yes,8345,00-753-1106
A9F177556FD35F28EB9AA7A6059F402C,NT000020,,02/26/2010 08:35:11,10/25/2010 08:35:11,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,8345-00-753-1210,"Finial, Eagle, Spread, Metal, for 9 ft 6 in staff",Accessory,"Finial, Eagle, Spread, Metal, for 9 ft 6 in staff. Manufactured to the Institute of Heraldry drawing; issued each.",General,EA,156.40,4,30,1CLR7;3SRF2;5KSB9;1PRQ2,AR 840-10,No,8345,00-753-1210
EAA97075E521898F2841454F80533C3E,NT000021,,09/23/2009 09:36:08,10/11/2012 09:36:08,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,8345-01-077-9938,"Guidon, Military Police, 20 in x 27-3/4 in, green (superseded pattern)",Guidon,"Guidon, Military Police, 20 in x 27-3/4 in, green (superseded pattern). Manufactured to the Institute of Heraldry drawing; issued each.",Military Police,EA,118.95,6,45,5KSB9;7GRN1,"AR 840-10, para 5-3",No,8345,01-077-9938
